Levels,Forecast_Methods,Target_Service_Level,Senario,Achieved_Service_Level,Holding_Costs,Backlogging_Costs
10,ETS,90%,BASE,0.8645574661481517,7.173758316268136,4.402603764192869
11,ETS,90%,BASE,0.8709373877461775,3.5853186932137784,2.395790471128862
12,ETS,90%,BASE,0.8762041418732137,1.803834109992814,1.3487667721484928
10,ETS,95%,BASE,0.9054725202642552,8.925418875524283,6.041404366719854
11,ETS,95%,BASE,0.9089553171219292,4.447593909343643,3.4730257001215934
12,ETS,95%,BASE,0.9070854612753596,2.224119700707653,2.0789240822001265
10,ETS,99%,BASE,0.9535796279810712,12.361369914372212,14.30589227600072
11,ETS,99%,BASE,0.9515180621280982,6.13404792512537,9.257549488644935
12,ETS,99%,BASE,0.945332193224945,3.0428178176424843,6.234707434793849
10,ETS_BU,90%,BASE,0.8621913507941714,7.140424406727775,4.579432221873717
11,ETS_BU,90%,BASE,0.8694771119336551,3.5596113712382023,2.436574869520741
12,ETS_BU,90%,BASE,0.8762041418732137,1.8038341108377325,1.3487667711879492
10,ETS_BU,95%,BASE,0.9038092114510612,8.90974852422431,6.333159031845297
11,ETS_BU,95%,BASE,0.9076043667713068,4.422160994344711,3.5386970863931246
12,ETS_BU,95%,BASE,0.9070854612753596,2.224119701829104,2.0789240802464555
10,ETS_BU,99%,BASE,0.9520920208030736,12.380960827326843,15.219930895592125
11,ETS_BU,99%,BASE,0.9506395539521154,6.109727841710364,9.458220603558658
12,ETS_BU,99%,BASE,0.945332193224945,3.04281781934384,6.234707431317044
10,ETS_TD,90%,BASE,0.8645574661481517,7.173758316268136,4.402603764192869
11,ETS_TD,90%,BASE,0.872159490230989,3.604639126296693,2.366860610054554
12,ETS_TD,90%,BASE,0.8784250105420981,1.8262400673424888,1.320110074722327
10,ETS_TD,95%,BASE,0.9054725202642552,8.925418875524283,6.041404366719854
11,ETS_TD,95%,BASE,0.9101344703181372,4.46769531801246,3.4253984433861304
12,ETS_TD,95%,BASE,0.909036920770276,2.247305110683154,2.0323984784426563
10,ETS_TD,99%,BASE,0.9535796279810712,12.361369914372212,14.30589227600072
11,ETS_TD,99%,BASE,0.952181823861063,6.155322836767368,9.119198173521667
12,ETS_TD,99%,BASE,0.9466358993581032,3.066989343170257,6.086152742616436
10,ETS_MinT,90%,BASE,0.8493651314248232,6.214189675847441,4.773876939645119
