Levels,Forecast_Methods,Target_Service_Level,Senario,Achieved_Service_Level,Holding_Costs,Backlogging_Costs
10,LGBM,90%,BASE,0.8734831092161365,6.5121866347970006,3.8611732907430487
11,LGBM,90%,BASE,0.885083321619891,3.5484542354818536,2.1934545775110927
12,LGBM,90%,BASE,0.899572459354355,1.9537272807352866,1.1773387474027632
10,LGBM,95%,BASE,0.913859344984304,8.119451682961822,5.253859664525724
11,LGBM,95%,BASE,0.9201572724859048,4.393018206309874,3.1329479449596334
12,LGBM,95%,BASE,0.9270861640819004,2.38265031470215,1.7879833662361402
10,LGBM,99%,BASE,0.959049805556857,11.27255752995372,12.375460523944508
11,LGBM,99%,BASE,0.9590849458838964,6.0452346454169295,8.19310974824857
12,LGBM,99%,BASE,0.9590146652298177,3.2159207144013378,5.233621644301983
10,LGBM_BU,90%,BASE,0.8950241296912337,6.736743446539252,3.775207256285873
11,LGBM_BU,90%,BASE,0.893450623936029,3.598322694572463,2.163607514681059
12,LGBM_BU,90%,BASE,0.899572459354355,1.9537272807352866,1.1773387474027632
10,LGBM_BU,95%,BASE,0.9292859485545613,8.374024202411912,5.081158672252495
11,LGBM_BU,95%,BASE,0.926193599775102,4.443383938665629,3.079294483233996
12,LGBM_BU,95%,BASE,0.9270861640819004,2.38265031470215,1.7879833662361402
10,LGBM_BU,99%,BASE,0.9674014899498665,11.585132228734658,11.695282616046049
11,LGBM_BU,99%,BASE,0.9628722922425775,6.096422995689502,7.986365216005202
12,LGBM_BU,99%,BASE,0.9590146652298177,3.2159207144013378,5.233621644301983
10,LGBM_TD,90%,BASE,0.8734831092161365,6.5121866347970006,3.8611732907430487
11,LGBM_TD,90%,BASE,0.8838260788080401,3.5637256483951303,2.166555828272383
12,LGBM_TD,90%,BASE,0.8942826687907042,1.9398490950477767,1.1782369009855123
10,LGBM_TD,95%,BASE,0.913859344984304,8.119451682961822,5.253859664525724
11,LGBM_TD,95%,BASE,0.9192397195021006,4.409431524773673,3.0973837671651854
12,LGBM_TD,95%,BASE,0.9227486763810149,2.368931829211815,1.792388373062653
10,LGBM_TD,99%,BASE,0.959049805556857,11.27255752995372,12.375460523944508
11,LGBM_TD,99%,BASE,0.9584289931124959,6.062564082494384,8.09875555882386
12,LGBM_TD,99%,BASE,0.9564189664058473,3.202366277763946,5.269757411856758
10,LGBM_MinT,90%,BASE,0.8716089584407065,6.547446913036178,3.7727433981018903
